id,Kode Kecerdasan,Jenis Kecerdasan,Deskripsi,Jurusan
1,K001,Kecerdasan Linguistic-Verbal,"Kecerdasan linguistik adalah suatu kemampuan untuk menyusun pikiran dengan jelas dan mampu menggunakan secara kompeten melalui kata kata seperti membaca, berbicara dan menulis.","Ilmu Perpustakaan, Ilmu Komunikasi, Bahasa dan Sastra, Ilmu Hubungan Internasional, Ilmu Hukum, Ilmu Politik"
2,K002,Kecerdasan Logika-Matematik,"Kecerdasan logika matematika adalah kemampuan untuk memahami dan menggunakan angka, pola, dan penalaran logis secara efektif. ","Statistika, Administrasi Negara, Akuntansi, Ilmu Ekonomi, Pendidikan Matematika, Ilmu Fisika, Ilmu Kimia, Teknik Informatika, Sistem Informasi"
3,K003,Kecerdasan Spasial-Visual,Kecerdasan spasial adalah kemampuan dalam memahami dan berpikir dalam bentuk visual. Seseorang yang memiliki kecerdasan spasial memiliki kemampuan untuk menggambarkan suatu hal dengan baik.,"Seni Rupa, Teknik Arsitektur, Planologi, Teknik Sipil"
4,K004,Kecerdasan Interpersonal,"Kecerdasan interpersonal merupakan kemampuan dalam berkomunikasi, peka terhadap emosi orang lain, mudah menyesuaikan diri dengan orang lain, memiliki empati yang tinggi, dan suka menolong orang lain","Ilmu Sosiologi, PGPAUD, PGSD, Psikologi, Kedokteran, Ilmu Keperawatan, Kesehatan Lingkungan, Kesehatan dan Keselamatan Kerja, Promosi Kesehatan, Epidemiologi, Gizi Kesehatan, Antropologi"
5,K005,Kecerdasan Naturalis,"Kecerdasan natural atau naturalistic intelligence adalah kemampuan untuk mengenali, mengamati, memahami, memanipulasi unsur-unsur alam seperti objek alam, hewan dan tumbuhan.","Kedokteran Hewan, Manajemen Sumber Daya Perairan, Budidaya Perikanan, Teknologi Hasil Perikanan, Ilmu Kelautan, Nutrisi dan Teknologi Pakan, Produksi Ternak, Teknologi Hasil Ternak, Ilmu Biologi, Agronomi dan Hortikultura, Ilmu Tanah, Proteksi Tanaman, Teknologi Pertanian"
6,K006,Kecerdasan Kinestetik,"kecerdasan kinestetik adalah saat kita mampu menggunakan gerakan-gerakan tubuh dengan baik, seperti berlari, menari, membangun sesuatu seperti seni atau kerajinan tangan.","Kedokteran Gigi, Kebidanan, Seni Tari, PJKR, Teknik Mesin"
7,K007,Kecerdasan Intrapersonal,"Kecerdasan intrapersonal adalah kemampuan dalam mengenali emosi, keinginan, dan perasaan diri sendiri dengan baik. Orang dengan jenis kecerdasan ini juga pandai memotivasi diri dan berpikir positif, lebih mawas diri, serta mampu menilai kelebihan dan kekurangan dirinya dengan lebih baik.","Ilmu Agama, Administrasi Niaga"
8,K008,Kecerdasan Ritmik-Musik," kecerdasan musikal adalah kemampuan untuk mengembangkan, mengekspresikan, dan menikmati bentuk dan suara musik, kepekaan terhadap ritme, melodi dan intonasi serta kemampuan memainkan musik instrumen.",Seni Musik
